2024-10-25 17:30:02,112 - [Camera] - INFO - cam is initialized
2024-10-25 19:17:09,211 - [Camera] - DEBUG - flag center: (479, 37)
2024-10-25 19:17:10,942 - [Camera] - DEBUG - flag center: (450, 38)
2024-10-25 19:20:28,805 - [Camera] - INFO - cam is initialized
2024-10-25 19:20:34,831 - [Camera] - DEBUG - 329, 420
2024-10-25 19:20:35,900 - [Camera] - DEBUG - 347, 420
2024-10-25 19:20:37,048 - [Camera] - DEBUG - 367, 420
2024-10-25 19:20:38,129 - [Camera] - DEBUG - 383, 420
2024-10-25 19:20:39,225 - [Camera] - DEBUG - 405, 420
2024-10-25 19:20:40,317 - [Camera] - DEBUG - 432, 420
2024-10-25 19:20:41,435 - [Camera] - DEBUG - 402, 420
2024-10-25 19:20:42,547 - [Camera] - DEBUG - 424, 420
2024-10-25 19:21:10,391 - [Camera] - INFO - cam is initialized
2024-10-25 19:21:16,365 - [Camera] - DEBUG - 349, 420
2024-10-25 19:21:17,459 - [Camera] - DEBUG - 370, 420
2024-10-25 19:21:18,619 - [Camera] - DEBUG - 389, 420
2024-10-25 19:21:19,712 - [Camera] - DEBUG - 409, 420
2024-10-25 19:21:20,800 - [Camera] - DEBUG - 429, 420
2024-10-25 19:21:33,636 - [Camera] - DEBUG - flag center: (127, 66)
2024-10-25 19:21:41,824 - [Camera] - DEBUG - flag center: (462, 105)
2024-10-25 19:21:50,028 - [Camera] - DEBUG - flag center: (227, 26)
2024-10-25 19:22:01,520 - [Camera] - DEBUG - flag center: (15, 2)
2024-10-25 19:22:09,270 - [Camera] - DEBUG - flag center: (181, 135)
2024-10-25 19:22:10,978 - [Camera] - DEBUG - flag center: (503, 119)
2024-10-25 19:22:12,687 - [Camera] - DEBUG - flag center: (226, 88)
2024-10-25 19:22:14,358 - [Camera] - DEBUG - flag center: (579, 141)
2024-10-25 19:22:16,060 - [Camera] - DEBUG - flag center: (333, 60)
2024-10-25 19:22:20,126 - [Camera] - DEBUG - flag center: (524, 89)
2024-10-28 20:02:47,724 - [Camera] - INFO - cam is initialized
2024-10-28 20:17:32,556 - [Camera] - INFO - cam is initialized
2024-10-28 20:20:11,097 - [Camera] - INFO - cam is initialized
2024-10-28 20:20:17,206 - [Camera] - DEBUG - 310, 420
2024-10-28 20:20:18,317 - [Camera] - DEBUG - 310, 420
2024-10-28 20:20:19,397 - [Camera] - DEBUG - 310, 420
2024-10-28 20:20:20,489 - [Camera] - DEBUG - 332, 420
2024-10-28 20:20:21,577 - [Camera] - DEBUG - 354, 420
2024-10-28 20:20:22,636 - [Camera] - DEBUG - 377, 420
2024-10-28 20:20:23,737 - [Camera] - DEBUG - 392, 420
2024-10-28 20:20:24,827 - [Camera] - DEBUG - 420, 420
2024-10-28 20:20:28,670 - [Camera] - DEBUG - [11, 163]
2024-10-28 20:20:33,031 - [Camera] - DEBUG - [29, 156]
